"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","cleantext","date","popular"
"4265","RT @Rout_PoliticsIR: @Peacebuilding_ editors Roger Mac Ginty &amp; Oliver Richmond are at the Everyday Agency In Peacebuilding panel at 10.30am…",FALSE,0,NA,2015-02-19 14:02:37,FALSE,NA,"568410328607948800",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","yannistellidis",1,TRUE,FALSE,NA,NA,"    editors Roger Mac Ginty  Oliver Richmond are at the Everyday Agency In Peacebuilding panel at  am",2015-02-19 08:02:37,1
"4266","RT @MartinRuhs: My book ""The Price of Rights"" now in paperback! Thanks @PrincetonUPress Reviews here: http://t.co/0swBmbwxeb #ISA2015 http:…",FALSE,0,NA,2015-02-19 14:02:04,FALSE,NA,"568410188522364929",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Leolucassen",5,TRUE,FALSE,NA,NA,"   My book  The Price of Rights  now in paperback  Thanks  Reviews here  ",2015-02-19 08:02:04,5
"4267","@Peacebuilding_ editors Roger Mac Ginty &amp; Oliver Richmond are at the Everyday Agency In Peacebuilding panel at 10.30am #ISA2015",FALSE,0,"Peacebuilding_",2015-02-19 14:01:57,FALSE,NA,"568410159598469121","389045150","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Rout_PoliticsIR",1,FALSE,FALSE,NA,NA," editors Roger Mac Ginty  Oliver Richmond are at the Everyday Agency In Peacebuilding panel at  am  ISA",2015-02-19 08:01:57,1
"4268","RT @MartinRuhs: My book ""The Price of Rights"" now in paperback! Thanks @PrincetonUPress Reviews here: http://t.co/0swBmbwxeb #ISA2015 http:…",FALSE,0,NA,2015-02-19 14:00:57,FALSE,NA,"568409910712643584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KelloggOx",5,TRUE,FALSE,NA,NA,"   My book  The Price of Rights  now in paperback  Thanks  Reviews here  ",2015-02-19 08:00:57,5
"4269","Terrific inaugural @EJIntSec advisory board dinner last night - great to see so many so enthusiastic #ISA2015 @MYBISA",FALSE,0,NA,2015-02-19 14:00:40,FALSE,NA,"568409837811437568",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","d_mainwaring",2,FALSE,FALSE,NA,NA,"Terrific inaugural  advisory board dinner last night   great to see so many so enthusiastic  ISA ",2015-02-19 08:00:40,2
"4270","heading to #ISA2015 @isanet. presenting Friday on religious conflict and repression",FALSE,1,NA,2015-02-19 14:00:12,FALSE,NA,"568409721834586113",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pehenne",1,FALSE,FALSE,NA,NA,"heading to  ISA   presenting Friday on religious conflict and repression",2015-02-19 08:00:12,2
"4271","My book ""The Price of Rights"" now in paperback! Thanks @PrincetonUPress Reviews here: http://t.co/0swBmbwxeb #ISA2015 http://t.co/5blYBAhYBv",FALSE,13,NA,2015-02-19 14:00:07,FALSE,NA,"568409697935593473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MartinRuhs",5,FALSE,FALSE,"-1.2331398","51.732156","My book  The Price of Rights  now in paperback  Thanks  Reviews here  ",2015-02-19 08:00:07,18
"4272","@ConHome @Conservatives got an ISA or a pension labours and ed balls are after you for tax avoidance #ISA2015",FALSE,0,"ConHome",2015-02-19 13:59:24,FALSE,NA,"568409517635047424","159992511","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wodens1",0,FALSE,FALSE,NA,NA,"  got an ISA or a pension labours and ed balls are after you for tax avoidance  ISA",2015-02-19 07:59:24,0
"4273","@rustyrockets  Bring your morning coffee to discuss revolution and Russell Brand. Loews, Feliciana east.  Right now.  #ISA2015",FALSE,0,"rustyrockets",2015-02-19 13:59:22,FALSE,NA,"568409512362831873","19562228","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flusterbird",0,FALSE,FALSE,NA,NA,"  Bring your morning coffee to discuss revolution and Russell Brand  Loews  Feliciana east   Right now    ISA",2015-02-19 07:59:22,0
"4274","RT @patrickamello: Up soon, FPA panel TB41: ""Foreign Policy Making: Drivers and Constraints"" (Quarterdeck A, Hilton) #ISA2015 @isanet @Jarr…",FALSE,0,NA,2015-02-19 13:59:20,FALSE,NA,"568409503378632705",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","JarrodNHayes",1,TRUE,FALSE,NA,NA,"   Up soon  FPA panel TB   Foreign Policy Making  Drivers and Constraints   Quarterdeck A  Hilton   ISA  ",2015-02-19 07:59:20,1
"4275","Up soon, FPA panel TB41: ""Foreign Policy Making: Drivers and Constraints"" (Quarterdeck A, Hilton) #ISA2015 @isanet @JarrodNHayes",FALSE,2,NA,2015-02-19 13:59:03,FALSE,NA,"568409430536151040",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","patrickamello",1,FALSE,FALSE,"0","0","Up soon  FPA panel TB   Foreign Policy Making  Drivers and Constraints   Quarterdeck A  Hilton   ISA  ",2015-02-19 07:59:03,3
"4276","RT @NortonPoliSci: Greetings from #ISA2015! Stop by the Norton booth to check    out our new titles.",FALSE,0,NA,2015-02-19 13:58:40,FALSE,NA,"568409332578168832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heathbrown",1,TRUE,FALSE,NA,NA,"   Greetings from  ISA  Stop by the Norton booth to check    out our new titles ",2015-02-19 07:58:40,1
"4277","The Methods Cafe (#TB02) today at #ISA2015 includes tables on feminist approaches &amp; genders &amp; sexualities Details at http://t.co/wF6hflGnRs",FALSE,1,NA,2015-02-19 13:58:04,FALSE,NA,"568409181520150530",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ftgs_isa",4,FALSE,FALSE,NA,NA,"The Methods Cafe   TB  today at  ISA includes tables on feminist approaches  genders  sexualities Details at ",2015-02-19 07:58:04,5
"4278","RT @Rout_PoliticsIR: Resilience Editor @DavidCh27992090 is at the Sovereignty And Self-Determination In Contemporary IR roundtable at 10.30…",FALSE,0,NA,2015-02-19 13:55:36,FALSE,NA,"568408562701107201",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RuthMillerUK",3,TRUE,FALSE,NA,NA,"   Resilience Editor  at the Sovereignty And Self Determination In Contemporary IR roundtable at  ",2015-02-19 07:55:36,3
"4279","RT @JimGoldgeier: Thanks @McFaul @norabensahel Steve Del Rosso + Bob Gallucci for great panel today on bridging academic-policy divide #ISA…",FALSE,0,NA,2015-02-19 13:54:12,FALSE,NA,"568408209343565824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DWBarno76",5,TRUE,FALSE,NA,NA,"   Thanks   Steve Del Rosso   Bob Gallucci for great panel today on bridging academic policy divide  ISA",2015-02-19 07:54:12,5
"4280","RT @Jamiejhagen: Fact: The life expectancy of a #trans woman of color living in New Orleans is 35. @YouthBreakOUT is working to change this…",FALSE,0,NA,2015-02-19 13:52:38,FALSE,NA,"568407814504214529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KellyBaden",16,TRUE,FALSE,NA,NA,"   Fact  The life expectancy of a  trans woman of color living in New Orleans is    is working to change this",2015-02-19 07:52:38,16
"4281","RT @PrincetonUPress: Good morning, #ISA2015. Grab your coffee and stop by our booth to say hello and browse new books. http://t.co/t6lk88Fb…",FALSE,0,NA,2015-02-19 13:52:24,FALSE,NA,"568407757688340480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShakkhaEsprit",2,TRUE,FALSE,NA,NA,"   Good morning   ISA  Grab your coffee and stop by our booth to say hello and browse new books  ",2015-02-19 07:52:24,2
"4282","Good morning #ISA2015. If you're up, do come see our roundtable on the global early modern at 8:15! #TA75",FALSE,0,NA,2015-02-19 13:52:00,FALSE,NA,"568407658094579713",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","jmulich",0,FALSE,FALSE,NA,NA,"Good morning  ISA  If you re up  do come see our roundtable on the global early modern at     TA",2015-02-19 07:52:00,0
"4283","Off to hear @SeverineAR and @DaNzigi at #ISA2015",FALSE,2,NA,2015-02-19 13:51:20,FALSE,NA,"568407488065708032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","seenfromafar",0,FALSE,FALSE,NA,NA,"Off to hear  and  at  ISA",2015-02-19 07:51:20,2
"4284","RT @JimGoldgeier: Thanks @McFaul @norabensahel Steve Del Rosso + Bob Gallucci for great panel today on bridging academic-policy divide #ISA…",FALSE,0,NA,2015-02-19 13:50:47,FALSE,NA,"568407348424736768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","norabensahel",5,TRUE,FALSE,NA,NA,"   Thanks   Steve Del Rosso   Bob Gallucci for great panel today on bridging academic policy divide  ISA",2015-02-19 07:50:47,5
"4285","RT @ATRWibben: Be there #ISA2015 - for sharing stories &amp; strategies of Resisting #Everydaysexism in the Academy  on #TA29 this am http://t.…",FALSE,0,NA,2015-02-19 13:50:21,FALSE,NA,"568407243160481793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","frenchie_A",1,TRUE,FALSE,NA,NA,"   Be there  ISA   for sharing stories  strategies of Resisting  Everydaysexism in the Academy  on  TA this am ",2015-02-19 07:50:21,1
